,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
20,One Flew Over the Cuckoo's Nest,(1975),133 min,8.7,84        ,"1,041,224",$112.00M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
21,Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,8.7,82        ,"1,338,670",$290.48M,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
22,Rocketry: The Nambi Effect,(2022),157 min,8.7,****,"54,993",%^%^%^,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
23,Soorarai Pottru,(2020),153 min,8.7,****,"120,578",%^%^%^,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
24,Oppenheimer,(2023),180 min,8.6,88        ,"399,430",#36,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb."
25,Se7en,(1995),127 min,8.6,65        ,"1,727,784",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
26,The Silence of the Lambs,(1991),118 min,8.6,86        ,"1,489,074",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
27,The Green Mile,(1999),189 min,8.6,61        ,"1,356,711",$136.80M,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution."
28,Saving Private Ryan,(1998),169 min,8.6,91        ,"1,445,833",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
29,Terminator 2: Judgment Day,(1991),137 min,8.6,75        ,"1,138,903",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
30,Star Wars,(1977),121 min,8.6,90        ,"1,410,491",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
31,Sen to Chihiro no kamikakushi,(2001),125 min,8.6,96        ,"806,587",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
32,Cidade de Deus,(2002),130 min,8.6,79        ,"779,892",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
33,La vita è bella,(1997),116 min,8.6,59        ,"720,585",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
34,It's a Wonderful Life,(1946),130 min,8.6,89        ,"477,861",#21,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
35,Shichinin no samurai,(1954),207 min,8.6,98        ,"357,157",$0.27M,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
36,Seppuku,(1962),133 min,8.6,85        ,"63,285",#47,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
37,Sita Ramam,(2022),163 min,8.6,****,"62,423",%^%^%^,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
38,Gladiator,(2000),155 min,8.5,67        ,"1,558,015",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
39,The Prestige,(2006),130 min,8.5,66        ,"1,391,971",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
40,The Departed,(2006),151 min,8.5,85        ,"1,376,174",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
41,Back to the Future,(1985),116 min,8.5,87        ,"1,259,677",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
42,Django Unchained,(2012),165 min,8.5,81        ,"1,629,547",$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
43,Gisaengchung,(2019),132 min,8.5,96        ,"882,768",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
44,Alien,(1979),117 min,8.5,89        ,"916,544",$78.90M,The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.
